# listOfpdbName  # highestOverlapPosition  # highestOverlapValue  # highestCollectivityPosition  # highestCollectivityValue  # highestCorrelationPosition  # highestCorrelationValue
1GCQ_l_u         14                        0.317471848416658      5                              0.959271635326640           9                             0.742231826570813
1GHQ_l_u         7                         0.509093653183600      0                              0.960903673368271           7                             0.602526172907492
1GLA_l_u         6                         0.193225545160544      5                              0.906886222941784           39                            0.438068343437601
1GP2_l_u         6                         0.452256821809141      5                              0.936196689487955           103                           0.634181534046761
1GPW_l_u         7                         0.214529404869333      5                              0.861617104365138           16                            0.546820167830596
1GPW_r_u         6                         0.444144091172846      1                              0.896360630472094           10                            0.793173213490401
1GRN_l_u         6                         0.388340991893679      3                              0.945489020523187           20                            0.510799767480607
1H1V_r_u         6                         0.612868392908825      0                              0.925769579622035           7                             0.884615069822207
1HCF_l_u         10                        0.402708228024464      3                              0.895253149266348           10                            0.660187642816858
1HCF_r_u         8                         0.370103734766263      0                              0.978590190056459           9                             0.609498272201303
1HE1_l_u         16                        0.414058365288677      2                              0.826002040775746           16                            0.527827768476628
1HE1_r_u         10                        0.476996012338297      2                              0.961920403365610           3                             0.524375224214229
1HE8_l_u         9                         0.195709543301923      0                              0.860234602958979           18                            0.570495171213934
1HE8_r_u         80                        0.201868555596320      5                              0.923524127203422           102                           0.463534286808087
1HIA_r_u         13                        0.547343328005528      4                              0.818657099209173           13                            0.823703755997931
1I2M_l_u         20                        0.233734210199939      2                              0.904824565767778           15                            0.654870696004815
1I4D_r_u         10                        0.394211668011331      5                              0.904129377154841           77                            0.699808348513021
1I9R_r_u         113                       0.249917397378003      5                              0.934655313842939           352                           0.552100955995201
1IB1_l_u         6                         0.521882330065525      1                              0.953253715494100           8                             0.823905866260357
1IJK_l_u         15                        0.263348270496717      2                              0.865166700019021           31                            0.560134634200604
1IQD_l_u         14                        0.369186478139713      0                              0.978442566796402           15                            0.796806500009876
1IRA_l_u         18                        0.175714660349371      5                              0.933780225618616           82                            0.544031251043890
1J2J_l_u         6                         0.672416033945466      3                              0.998292257630082           6                             0.744623320835009
1JIW_l_u         7                         0.302727342785862      3                              0.929329033578460           7                             0.652096046832994
1JK9_l_u         40                        0.221603682553945      1                              0.912451110461981           49                            0.388351677805202
1JMO_l_u         7                         0.337352378477743      4                              0.942074199416917           77                            0.557951030293243
1JPS_l_u         7                         0.532657167515969      3                              0.944841008856524           39                            0.666733145605303
